,Lesson(s) Learned Level 1,Driving Event Level 1,Recommendation(s) Level 1,Lesson IDs for row,Number of lessons for row
104,"briefing, side, write, crane, follow, procedure, consideration give, high value, hoist, review approve","anomaly investigation, centaur, thrust, potable water, atlas centaur, cape canaveral, hughes, general purpose computer, engine start, dewar","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware",[351],1
105,"briefing, side, write, crane, follow, procedure, consideration give, high value, hoist, review approve","management, project, lack, formal, manager, organization, contractor, request, risk, development","briefing, maximum, move, crew, practice, safe, communication, vehicle, land, verify","[155, 5125, 10302]",3
106,"briefing, side, write, crane, follow, procedure, consideration give, high value, hoist, review approve","ssme, oxidizer, pump, liquid, fuel, propellant, shape, erosion, ring, space shuttle","proof, arise, coordinate, briefing, fail, electronic, personnel involve, clearly, monthly, fixture",[1089],1
107,"briefing, side, write, crane, follow, procedure, consideration give, high value, hoist, review approve","ssme, oxidizer, pump, liquid, fuel, propellant, shape, erosion, ring, space shuttle","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load",[937],1
108,"controller, allow, series, find, solid, replace, removal, fault, timely, manner","base reliability, prefer, reliability, implementation method, technical, test benefit, reliability prefer, rationale, benefit, technical rationale","propellant, engine, cryogenic, liquid, propulsion system, propulsion, purge, coat, base, rocket",[1604],1
109,"controller, allow, series, find, solid, replace, removal, fault, timely, manner","base reliability, prefer, reliability, implementation method, technical, test benefit, reliability prefer, rationale, benefit, technical rationale","benefit, space shuttle, approach, space shuttle program, file, database, thoroughly, multiple, launch vehicle, processing",[986],1
110,"controller, allow, series, find, solid, replace, removal, fault, timely, manner","base reliability, prefer, reliability, implementation method, technical, test benefit, reliability prefer, rationale, benefit, technical rationale","subject, thermal vacuum test, temperature, thermal vacuum, thermal, flight, test, reliability, fatigue, component",[829],1
111,"controller, allow, series, find, solid, replace, removal, fault, timely, manner","breaker, effective maintainability benefit, base maintainability, recommend technique, circuit breaker, cost saving, technique number, effective maintainability, fault, saving","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load",[16301],1
112,"controller, allow, series, find, solid, replace, removal, fault, timely, manner","click view, click, video, quicktime, version video, version, view, airlock, discussion, hatch","fabrication assembly, defect, effort make, fabrication, material, complex, effort, wiring, harness, connector","[284, 2045, 5099]",3
113,"controller, allow, series, find, solid, replace, removal, fault, timely, manner","constellation program, constellation, risk management, communicate, role, mobile, life cycle, regard, size weight, timely manner","remote, compliance, pressurization, analysis fmea, rigor, fmea, exists, correction, pressure, human factor",[1328],1
114,"controller, allow, series, find, solid, replace, removal, fault, timely, manner","explosion, injury, employee, tighten, burn, electrical shock, injured, explode, newly, contact","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load",[22101],1
115,"controller, allow, series, find, solid, replace, removal, fault, timely, manner","management, project, lack, formal, manager, organization, contractor, request, risk, development","installation, clearance, match, fidelity, examine, thoroughly, carefully, concern, correct, identify",[28202],1
116,"controller, allow, series, find, solid, replace, removal, fault, timely, manner","management, project, lack, formal, manager, organization, contractor, request, risk, development","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware",[4581],1
117,"controller, allow, series, find, solid, replace, removal, fault, timely, manner","management, project, lack, formal, manager, organization, contractor, request, risk, development","benefit, space shuttle, approach, space shuttle program, file, database, thoroughly, multiple, launch vehicle, processing",[3757],1
118,"controller, allow, series, find, solid, replace, removal, fault, timely, manner","management, project, lack, formal, manager, organization, contractor, request, risk, development","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware","[1002, 1009, 3557]",3
119,"controller, allow, series, find, solid, replace, removal, fault, timely, manner","management, project, lack, formal, manager, organization, contractor, request, risk, development","close, leak check, orbiter, open, position, valve, flow, open close, calibration, door","[32, 103, 128, 235, 257, 298, 310, 399, 545, 613, 767, 857, 936, 1049, 1071, 1624, 2876, 3640, 5876, 6758]",20
120,"controller, allow, series, find, solid, replace, removal, fault, timely, manner","management, project, lack, formal, manager, organization, contractor, request, risk, development","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware","[160, 3436]",2
121,"controller, allow, series, find, solid, replace, removal, fault, timely, manner","management, project, lack, formal, manager, organization, contractor, request, risk, development","vessel, pressure vessel, point, pressure, contact, internal, single point failure, routine, pertain, perform periodic",[1801],1
122,"controller, allow, series, find, solid, replace, removal, fault, timely, manner","management, project, lack, formal, manager, organization, contractor, request, risk, development","vessel, pressure vessel, point, pressure, contact, internal, single point failure, routine, pertain, perform periodic",[1614],1
123,"controller, allow, series, find, solid, replace, removal, fault, timely, manner","management, project, lack, formal, manager, organization, contractor, request, risk, development","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load","[1480, 24403]",2
124,"controller, allow, series, find, solid, replace, removal, fault, timely, manner","management, project, lack, formal, manager, organization, contractor, request, risk, development","degradation, deep space, station, compatibility, downlink, real, mission, effect, long term, term","[107, 176, 1390, 1395]",4
125,"controller, allow, series, find, solid, replace, removal, fault, timely, manner","management, project, lack, formal, manager, organization, contractor, request, risk, development","benefit, space shuttle, approach, space shuttle program, file, database, thoroughly, multiple, launch vehicle, processing","[1177, 22601]",2
126,"controller, allow, series, find, solid, replace, removal, fault, timely, manner","management, project, lack, formal, manager, organization, contractor, request, risk, development","remote, compliance, pressurization, analysis fmea, rigor, fmea, exists, correction, pressure, human factor",[586],1
127,"controller, allow, series, find, solid, replace, removal, fault, timely, manner","management, project, lack, formal, manager, organization, contractor, request, risk, development","benefit, space shuttle, approach, space shuttle program, file, database, thoroughly, multiple, launch vehicle, processing","[76, 90, 114, 120, 139, 175, 195, 228, 292, 580, 592, 670, 742, 1734, 6416, 18502]",16
128,"controller, allow, series, find, solid, replace, removal, fault, timely, manner","management, project, lack, formal, manager, organization, contractor, request, risk, development","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware","[56, 340, 1378]",3
129,"controller, allow, series, find, solid, replace, removal, fault, timely, manner","orbiter, brake, fall, position, hydraulic fluid, mast, pull, operator, smoke, thermal protection system","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load","[1189, 1333, 2896, 5957]",4
130,"controller, allow, series, find, solid, replace, removal, fault, timely, manner","orbiter, brake, fall, position, hydraulic fluid, mast, pull, operator, smoke, thermal protection system","propellant, engine, cryogenic, liquid, propulsion system, propulsion, purge, coat, base, rocket","[89, 1054, 1056, 1107, 1114, 1162, 1312, 1835, 2839, 4456, 6636, 18901]",12
131,"controller, allow, series, find, solid, replace, removal, fault, timely, manner","orbiter, brake, fall, position, hydraulic fluid, mast, pull, operator, smoke, thermal protection system","degradation, deep space, station, compatibility, downlink, real, mission, effect, long term, term","[313, 410, 550, 730, 797]",5
132,"controller, allow, series, find, solid, replace, removal, fault, timely, manner","orbiter, brake, fall, position, hydraulic fluid, mast, pull, operator, smoke, thermal protection system","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load",[109],1
